"Z35.TMC"
Time/sec,Abs
0.0,0.1063
1.0,0.1064
2.0,0.1064
3.0,0.1064
4.0,0.1065
5.0,0.1067
6.0,0.1068
7.0,0.1068
8.0,0.1067
9.0,0.1067
10.0,0.1067
11.0,0.1067
12.0,0.1065
13.0,0.1064
14.0,0.1064
15.0,0.1066
16.0,0.1068
17.0,0.1068
18.0,0.1068
19.0,0.1067
20.0,0.1066
21.0,0.1066
22.0,0.1065
23.0,0.1062
24.0,0.1061
25.0,0.1061
26.0,0.1061
27.0,0.1061
28.0,0.1061
29.0,0.1060
30.0,0.1059
31.0,0.1059
32.0,0.1058
33.0,0.1058
34.0,0.1058
35.0,0.1058
36.0,0.1058
37.0,0.1058
38.0,0.1057
39.0,0.1057
40.0,0.1057
41.0,0.1057
42.0,0.1057
43.0,0.1057
44.0,0.1057
45.0,0.1057
46.0,0.1057
47.0,0.1056
48.0,0.1056
49.0,0.1056
50.0,0.1056
51.0,0.1055
52.0,0.1056
53.0,0.1057
54.0,0.1056
55.0,0.1057
56.0,0.1058
57.0,0.1058
58.0,0.1057
59.0,0.1056
60.0,0.1056
61.0,0.1056
62.0,0.1055
63.0,0.1055
64.0,0.1055
65.0,0.1056
66.0,0.1056
67.0,0.1056
68.0,0.1056
69.0,0.1055
70.0,0.1054
71.0,0.1054
72.0,0.1054
73.0,0.1054
74.0,0.1054
75.0,0.1054
76.0,0.1054
77.0,0.1053
78.0,0.1053
79.0,0.1052
80.0,0.1052
81.0,0.1051
82.0,0.1051
83.0,0.1051
84.0,0.1051
85.0,0.1051
86.0,0.1051
87.0,0.1051
88.0,0.1050
89.0,0.1051
90.0,0.1050
91.0,0.1050
92.0,0.1050
93.0,0.1050
94.0,0.1050
95.0,0.1050
96.0,0.1049
97.0,0.1048
98.0,0.1048
99.0,0.1048
100.0,0.1048
101.0,0.1047
102.0,0.1047
103.0,0.1047
104.0,0.1046
105.0,0.1046
106.0,0.1045
107.0,0.1046
108.0,0.1045
109.0,0.1045
110.0,0.1045
111.0,0.1044
112.0,0.1044
113.0,0.1044
114.0,0.1044
115.0,0.1044
116.0,0.1043
117.0,0.1043
118.0,0.1043
119.0,0.1042
120.0,0.1042
121.0,0.1042
122.0,0.1041
123.0,0.1041
124.0,0.1041
125.0,0.1041
126.0,0.1041
127.0,0.1041
128.0,0.1040
129.0,0.1040
130.0,0.1040
131.0,0.1039
132.0,0.1039
133.0,0.1039
134.0,0.1039
135.0,0.1038
136.0,0.1038
137.0,0.1038
138.0,0.1038
139.0,0.1038
140.0,0.1038
141.0,0.1038
142.0,0.1038
143.0,0.1038
144.0,0.1037
145.0,0.1037
146.0,0.1037
147.0,0.1036
148.0,0.1036
149.0,0.1036
150.0,0.1036
151.0,0.1036
152.0,0.1037
153.0,0.1037
154.0,0.1037
155.0,0.1036
156.0,0.1036
157.0,0.1036
158.0,0.1035
159.0,0.1035
160.0,0.1035
161.0,0.1035
162.0,0.1034
163.0,0.1034
164.0,0.1034
165.0,0.1034
166.0,0.1033
167.0,0.1033
168.0,0.1033
169.0,0.1033
170.0,0.1033
171.0,0.1032
172.0,0.1032
173.0,0.1032
174.0,0.1032
175.0,0.1032
176.0,0.1032
177.0,0.1031
178.0,0.1031
179.0,0.1031
180.0,0.1031
181.0,0.1031
182.0,0.1031
183.0,0.1030
184.0,0.1029
185.0,0.1029
186.0,0.1028
187.0,0.1028
188.0,0.1027
189.0,0.1027
190.0,0.1028
191.0,0.1028
192.0,0.1028
193.0,0.1028
194.0,0.1029
195.0,0.1030
196.0,0.1030
197.0,0.1031
198.0,0.1031
199.0,0.1031
200.0,0.1030
201.0,0.1028
202.0,0.1027
203.0,0.1026
204.0,0.1024
205.0,0.1024
206.0,0.1024
207.0,0.1024
208.0,0.1024
209.0,0.1023
210.0,0.1023
211.0,0.1023
212.0,0.1023
213.0,0.1023
214.0,0.1022
215.0,0.1022
216.0,0.1022
217.0,0.1022
218.0,0.1021
219.0,0.1021
220.0,0.1021
221.0,0.1021
222.0,0.1021
223.0,0.1021
224.0,0.1021
225.0,0.1021
226.0,0.1021
227.0,0.1021
228.0,0.1021
229.0,0.1020
230.0,0.1019
231.0,0.1018
232.0,0.1017
233.0,0.1017
234.0,0.1017
235.0,0.1016
236.0,0.1016
237.0,0.1016
238.0,0.1016
239.0,0.1016
240.0,0.1016
241.0,0.1015
242.0,0.1015
243.0,0.1015
244.0,0.1015
245.0,0.1014
246.0,0.1014
247.0,0.1014
248.0,0.1014
249.0,0.1013
250.0,0.1013
251.0,0.1013
252.0,0.1013
253.0,0.1012
254.0,0.1013
255.0,0.1012
256.0,0.1012
257.0,0.1012
258.0,0.1012
259.0,0.1011
260.0,0.1011
261.0,0.1011
262.0,0.1011
263.0,0.1010
264.0,0.1010
265.0,0.1010
266.0,0.1010
267.0,0.1010
268.0,0.1010
269.0,0.1010
270.0,0.1010
271.0,0.1010
272.0,0.1010
273.0,0.1009
274.0,0.1010
275.0,0.1009
276.0,0.1008
277.0,0.1008
278.0,0.1008
279.0,0.1008
280.0,0.1007
281.0,0.1007
282.0,0.1006
283.0,0.1006
284.0,0.1006
285.0,0.1006
286.0,0.1006
287.0,0.1005
288.0,0.1005
289.0,0.1005
290.0,0.1005
291.0,0.1005
292.0,0.1004
293.0,0.1004
294.0,0.1004
295.0,0.1003
296.0,0.1003
297.0,0.1003
298.0,0.1003
299.0,0.1002
300.0,0.1002
