"ZSPEC.SPC"
WL/nm,Abs
700.00,-0.0005
699.00,-0.0005
698.00,-0.0005
697.00,-0.0006
696.00,-0.0006
695.00,-0.0006
694.00,-0.0007
693.00,-0.0007
692.00,-0.0007
691.00,-0.0007
690.00,-0.0007
689.00,-0.0008
688.00,-0.0008
687.00,-0.0008
686.00,-0.0008
685.00,-0.0009
684.00,-0.0009
683.00,-0.0009
682.00,-0.0009
681.00,-0.0010
680.00,-0.0010
679.00,-0.0011
678.00,-0.0011
677.00,-0.0011
676.00,-0.0011
675.00,-0.0011
674.00,-0.0011
673.00,-0.0011
672.00,-0.0011
671.00,-0.0011
670.00,-0.0011
669.00,-0.0011
668.00,-0.0011
667.00,-0.0011
666.00,-0.0011
665.00,-0.0011
664.00,-0.0011
663.00,-0.0011
662.00,-0.0011
661.00,-0.0011
660.00,-0.0011
659.00,-0.0010
658.00,-0.0011
657.00,-0.0010
656.00,-0.0011
655.00,-0.0010
654.00,-0.0010
653.00,-0.0009
652.00,-0.0008
651.00,-0.0008
650.00,-0.0007
649.00,-0.0006
648.00,-0.0006
647.00,-0.0005
646.00,-0.0005
645.00,-0.0005
644.00,-0.0005
643.00,-0.0005
642.00,-0.0006
641.00,-0.0006
640.00,-0.0006
639.00,-0.0006
638.00,-0.0006
637.00,-0.0005
636.00,-0.0004
635.00,-0.0004
634.00,-0.0005
633.00,-0.0005
632.00,-0.0006
631.00,-0.0006
630.00,-0.0006
629.00,-0.0007
628.00,-0.0007
627.00,-0.0008
626.00,-0.0008
625.00,-0.0008
624.00,-0.0008
623.00,-0.0008
622.00,-0.0007
621.00,-0.0008
620.00,-0.0008
619.00,-0.0007
618.00,-0.0007
617.00,-0.0007
616.00,-0.0007
615.00,-0.0006
614.00,-0.0006
613.00,-0.0005
612.00,-0.0005
611.00,-0.0005
610.00,-0.0004
609.00,-0.0003
608.00,-0.0003
607.00,-0.0001
606.00,-0.0001
605.00,0.0000
604.00,0.0001
603.00,0.0003
602.00,0.0005
601.00,0.0006
600.00,0.0009
599.00,0.0011
598.00,0.0014
597.00,0.0017
596.00,0.0020
595.00,0.0023
594.00,0.0026
593.00,0.0030
592.00,0.0034
591.00,0.0039
590.00,0.0044
589.00,0.0049
588.00,0.0055
587.00,0.0061
586.00,0.0068
585.00,0.0076
584.00,0.0084
583.00,0.0092
582.00,0.0103
581.00,0.0112
580.00,0.0123
579.00,0.0135
578.00,0.0147
577.00,0.0160
576.00,0.0174
575.00,0.0188
574.00,0.0203
573.00,0.0218
572.00,0.0235
571.00,0.0252
570.00,0.0271
569.00,0.0289
568.00,0.0308
567.00,0.0327
566.00,0.0345
565.00,0.0363
564.00,0.0381
563.00,0.0397
562.00,0.0412
561.00,0.0426
560.00,0.0439
559.00,0.0450
558.00,0.0461
557.00,0.0469
556.00,0.0475
555.00,0.0480
554.00,0.0484
553.00,0.0485
552.00,0.0485
551.00,0.0483
550.00,0.0479
549.00,0.0474
548.00,0.0467
547.00,0.0461
546.00,0.0453
545.00,0.0444
544.00,0.0435
543.00,0.0425
542.00,0.0414
541.00,0.0405
540.00,0.0395
539.00,0.0384
538.00,0.0373
537.00,0.0363
536.00,0.0353
535.00,0.0343
534.00,0.0334
533.00,0.0324
532.00,0.0316
531.00,0.0307
530.00,0.0299
529.00,0.0291
528.00,0.0283
527.00,0.0275
526.00,0.0268
525.00,0.0260
524.00,0.0253
523.00,0.0246
522.00,0.0239
521.00,0.0232
520.00,0.0224
519.00,0.0218
518.00,0.0210
517.00,0.0203
516.00,0.0196
515.00,0.0189
514.00,0.0182
513.00,0.0176
512.00,0.0169
511.00,0.0163
510.00,0.0155
509.00,0.0150
508.00,0.0143
507.00,0.0136
506.00,0.0129
505.00,0.0123
